sample_id,description,serotype,genotype,country,year,host,genome_length,is_complete,location,lineage,data_source
PP582667.1,"Dengue virus type 3 isolate 25006/DENV3/FG/2023-07-25, complete genome",DENV-3,,,7-25,Homo sapiens,10708.0,True,,,legacy
PP582666.1,"Dengue virus type 3 isolate 24008/DENV3/FG/2023-07-24, complete genome",DENV-3,,,7-24,Homo sapiens,10708.0,True,,,legacy
PP582665.1,"Dengue virus type 3 isolate 22008/DENV3/FG/2023-07-22, complete genome",DENV-3,,,7-22,Homo sapiens,10708.0,True,,,legacy
PP582664.1,"Dengue virus type 3 isolate 21022/DENV3/FG/2023-07-21, complete genome",DENV-3,,,7-21,Homo sapiens,10708.0,True,,,legacy
PP582662.1,"Dengue virus type 3 isolate 20003/DENV3/FG/2023-07-20, complete genome",DENV-3,,,7-20,Homo sapiens,10708.0,True,,,legacy
PP582661.1,"Dengue virus type 3 isolate 20025/DENV3/FG/2023-07-19, complete genome",DENV-3,,,7-19,Homo sapiens,10708.0,True,,,legacy
PP582660.1,"Dengue virus type 3 isolate 19028/DENV3/FG/2023-07-19, complete genome",DENV-3,,,7-19,Homo sapiens,10708.0,True,,,legacy
PP582659.1,"Dengue virus type 3 isolate 17053/DENV3/FG/2023-07-17, complete genome",DENV-3,,,7-17,Homo sapiens,10708.0,True,,,legacy
PP582658.1,"Dengue virus type 3 isolate 17045/DENV3/FG/2023-07-13, complete genome",DENV-3,,,7-13,Homo sapiens,10708.0,True,,,legacy
PP582657.1,"Dengue virus type 3 isolate 07041/DENV3/FG/2023-07-07, complete genome",DENV-3,,,7-07,Homo sapiens,10708.0,True,,,legacy
PP582655.1,"Dengue virus type 3 isolate 07026/DENV3/FG/2023-07-07, complete genome",DENV-3,,,7-07,Homo sapiens,10708.0,True,,,legacy
PP582654.1,"Dengue virus type 3 isolate 07027/DENV3/FG/2023-07-06, complete genome",DENV-3,,,7-06,Homo sapiens,10708.0,True,,,legacy
PP582652.1,"Dengue virus type 3 isolate 30024/DENV3/FG/2023-06-29, complete genome",DENV-3,,,6-29,Homo sapiens,10708.0,True,,,legacy
PP582642.1,"Dengue virus type 3 isolate 26005/DENV3/FG/2023-04-23, complete genome",DENV-3,,,4-23,Homo sapiens,10708.0,True,,,legacy
PP582641.1,"Dengue virus type 3 isolate 10005/DENV3/FG/2023-03-10, complete genome",DENV-3,,,3-10,Homo sapiens,10708.0,True,,,legacy
PP582639.1,"Dengue virus type 3 isolate 06017/DENV3/FG/2022-11-23, complete genome",DENV-3,,,1-23,Homo sapiens,10708.0,True,,,legacy
PP582638.1,"Dengue virus type 3 isolate 26144/DENV3/FG/2021-01-26, complete genome",DENV-3,,,1-26,Homo sapiens,10708.0,True,,,legacy
PP582637.1,"Dengue virus type 3 isolate 07178/DENV3/FG/2021-01-07, complete genome",DENV-3,,,1-07,Homo sapiens,10708.0,True,,,legacy
PP582635.1,"Dengue virus type 3 isolate 20157/DENV3/GLP/2020-11-03, complete genome",DENV-3,,,1-03,Homo sapiens,10708.0,True,,,legacy
PP582632.1,"Dengue virus type 3 isolate 20150/DENV3/GLP/2020-10-07, complete genome",DENV-3,,,0-07,Homo sapiens,10708.0,True,,,legacy
PP582627.1,"Dengue virus type 3 isolate 27341/DENV3/MTQ/2020-01-09, complete genome",DENV-3,,,1-09,Homo sapiens,10708.0,True,,,legacy
PP582623.1,"Dengue virus type 3 isolate 31054/DENV3/FG/2013-02-05, complete genome",DENV-3,,,2-05,Homo sapiens,10708.0,True,,,legacy
PP582622.1,"Dengue virus type 3 isolate 25179/DENV3/FG/2013-01-24, complete genome",DENV-3,,,1-24,Homo sapiens,10708.0,True,,,legacy
OR690442.1,"Dengue virus type 1 isolate 2023095-Changsha-China-2023,complete genome polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",DENV-1,,,2023,Homo sapiens,10652.0,True,,,legacy
PQ555702.1,"Dengue virus type 4 isolate D4/Malaysia/110454/23, complete genome",DENV-4,,,2023,Homo sapiens,10649.0,True,,,legacy
PQ465587.1,"Dengue virus type 2 isolate D2/Malaysia/247146/15, complete genome",DENV-2,,,2015,Homo sapiens,10723.0,True,,,legacy
PP586203.1,"Dengue virus type 4 isolate DG08, complete genome",DENV-4,,,1-14,Homo sapiens,10651.0,True,,,legacy
PP586198.1,"Dengue virus type 3 isolate DG03, complete genome",DENV-3,,,8-04,Homo sapiens,10700.0,True,,,legacy
PQ357572.1,"Dengue virus type 1 isolate 18GZ27977_D1_KHM, complete genome",DENV-1,,,1-11,Homo sapiens,10655.0,True,,,legacy
PQ357570.1,"Dengue virus type 1 isolate 18GZ61914_D1_THA, complete genome",DENV-1,,,2-17,Homo sapiens,10656.0,True,,,legacy
PQ357542.1,"Dengue virus type 1 isolate 19GZ15076_D1_KHM, complete genome",DENV-1,,,6-24,Homo sapiens,10735.0,True,,,legacy
PQ357540.1,"Dengue virus type 1 isolate 19GZ14846_D1_THA, complete genome",DENV-1,,,6-15,Homo sapiens,10735.0,True,,,legacy
PQ357538.1,"Dengue virus type 1 isolate 18GZ61318_D1_IDN, complete genome",DENV-1,,,9-29,Homo sapiens,10735.0,True,,,legacy
PQ357537.1,"Dengue virus type 1 isolate 18GZ26171_D1_PHL, complete genome",DENV-1,,,0-24,Homo sapiens,10735.0,True,,,legacy
PQ357536.1,"Dengue virus type 1 isolate 18GZ23120_D1_KHM, complete genome",DENV-1,,,9-27,Homo sapiens,10735.0,True,,,legacy
PQ357520.1,"Dengue virus type 2 isolate 23GZ15799_D2_MYS, complete genome",DENV-2,,,7-26,Homo sapiens,10723.0,True,,,legacy
PQ357519.1,"Dengue virus type 2 isolate 23GZ12873_D2_THA, complete genome",DENV-2,,,6-30,Homo sapiens,10723.0,True,,,legacy
PQ357512.1,"Dengue virus type 3 isolate 23GZ16601_D3_BFA, complete genome",DENV-3,,,8-21,Homo sapiens,10707.0,True,,,legacy
PQ357511.1,"Dengue virus type 3 isolate 23GZ14235_D3_THA, complete genome",DENV-3,,,7-16,Homo sapiens,10700.0,True,,,legacy
PQ357326.1,"Dengue virus type 4 isolate 23GZ08185_D4_IDN, complete genome",DENV-4,,,2023,Homo sapiens,10652.0,True,,,legacy
PQ203301.1,"Dengue virus type 3 isolate 23GZ19808_D3_THA, complete genome",DENV-3,,,0-03,Homo sapiens,10700.0,True,,,legacy
PQ203300.1,"Dengue virus type 3 isolate 23GZ16601_D3_BFA, complete genome",DENV-3,,,8-21,Homo sapiens,10707.0,True,,,legacy
PQ203299.1,"Dengue virus type 3 isolate 23GZ14235_D3_THA, complete genome",DENV-3,,,7-16,Homo sapiens,10700.0,True,,,legacy
PP968117.1,"Dengue virus type 3 isolate Bangladesh 2022, complete genome",DENV-3,,,2024,Homo sapiens,10707.0,True,,,legacy
PP902582.1,"Dengue virus type 3 isolate JA20JA19, complete genome",DENV-3,,,2020,Homo sapiens,10708.0,True,,,legacy
PP902578.1,"Dengue virus type 3 isolate JA19DC37, complete genome",DENV-3,,,2019,Homo sapiens,10708.0,True,,,legacy
PP902572.1,"Dengue virus type 3 isolate JA20ST4, complete genome",DENV-3,,,2020,Homo sapiens,10708.0,True,,,legacy
OR053670.1,"Dengue virus type 3 isolate D191267, complete genome",DENV-3,,,2019,Homo sapiens,10707.0,True,,,legacy
PP711274.1,"Dengue virus type 3 isolate Dengue virus type 3 Homo sapiens/Bangladesh-UF-1/2019, complete genome",DENV-3,,,2019,Homo sapiens,10707.0,True,,,legacy
PP564823.1,"Dengue virus type 1 isolate 23GZ20477_D1_SZ, complete genome",DENV-1,,,0-06,Homo sapiens,10712.0,True,,,legacy
PP563875.1,"Dengue virus type 1 isolate 23GZ17450_D1_A, complete genome",DENV-1,,,9-03,Homo sapiens,10734.0,True,,,legacy
PP563826.1,"Dengue virus type 1 isolate 23GZ16582_D1_YN, complete genome",DENV-1,,,8-21,Homo sapiens,10734.0,True,,,legacy
PP563771.1,"Dengue virus type 3 isolate 23GZ16076_D3_AGO, complete genome",DENV-3,,,6-24,Homo sapiens,10707.0,True,,,legacy
PP546320.1,"Dengue virus type 2 isolate BS71, complete genome",DENV-2,,,2022,Homo sapiens,10723.0,True,,,legacy
PP540290.1,"Dengue virus type 1 isolate 23GZ15876_D1_A, complete genome",DENV-1,,,2023,Homo sapiens,10734.0,True,,,legacy
PP326824.1,"Dengue virus type 2 isolate 71057, complete genome",DENV-2,,,8-24,Homo sapiens,10723.0,True,,,legacy
PP326823.1,"Dengue virus type 2 isolate 71056, complete genome",DENV-2,,,9-12,Homo sapiens,10723.0,True,,,legacy
PP326822.1,"Dengue virus type 2 isolate 71050, complete genome",DENV-2,,,8-07,Homo sapiens,10723.0,True,,,legacy
PP326821.1,"Dengue virus type 2 isolate 71027, complete genome",DENV-2,,,0-05,Homo sapiens,10722.0,True,,,legacy
PP326820.1,"Dengue virus type 2 isolate 71024, complete genome",DENV-2,,,0-06,Homo sapiens,10723.0,True,,,legacy
PP326813.1,"Dengue virus type 2 isolate 70053, complete genome",DENV-2,,,9-26,Homo sapiens,10723.0,True,,,legacy
ON127552.1,"Dengue virus type 3, complete genome",DENV-3,,,2021,Homo sapiens,10707.0,True,,,legacy
ON127550.1,"Dengue virus type 3, complete genome",DENV-3,,,2021,Homo sapiens,10707.0,True,,,legacy
ON127537.1,"Dengue virus type 3, complete genome",DENV-3,,,2021,Homo sapiens,10707.0,True,,,legacy
ON127533.1,"Dengue virus type 3, complete genome",DENV-3,,,2021,Homo sapiens,10707.0,True,,,legacy
ON127418.1,"Dengue virus type 3, complete genome",DENV-3,,,2021,Homo sapiens,10707.0,True,,,legacy
ON116129.1,"Dengue virus type 3, complete genome",DENV-3,,,2021,Homo sapiens,10707.0,True,,,legacy
ON115818.1,"Dengue virus type 3, complete genome",DENV-3,,,2021,Homo sapiens,10707.0,True,,,legacy
ON115816.1,"Dengue virus type 3, complete genome",DENV-3,,,2021,Homo sapiens,10707.0,True,,,legacy
ON115814.1,"Dengue virus type 3, complete genome",DENV-3,,,2021,Homo sapiens,10707.0,True,,,legacy
ON115811.1,"Dengue virus type 3, complete genome",DENV-3,,,2021,Homo sapiens,10707.0,True,,,legacy
ON115182.1,"Dengue virus type 3, complete genome",DENV-3,,,2021,Homo sapiens,10707.0,True,,,legacy
ON115029.1,"Dengue virus type 3, complete genome",DENV-3,,,2021,Homo sapiens,10707.0,True,,,legacy
ON115025.1,"Dengue virus type 3, complete genome",DENV-3,,,2021,Homo sapiens,10707.0,True,,,legacy
ON115023.1,"Dengue virus type 3, complete genome",DENV-3,,,2021,Homo sapiens,10707.0,True,,,legacy
ON115021.1,"Dengue virus type 3, complete genome",DENV-3,,,2021,Homo sapiens,10707.0,True,,,legacy
ON111445.1,"Dengue virus type 3, complete genome",DENV-3,,,2021,Homo sapiens,10707.0,True,,,legacy
ON103390.1,"Dengue virus type 3, complete genome",DENV-3,,,2021,Homo sapiens,10707.0,True,,,legacy
ON103302.1,"Dengue virus type 3, complete genome",DENV-3,,,2021,Homo sapiens,10707.0,True,,,legacy
OR821726.1,"Dengue virus type 3 isolate DENV3_CDBT_TU_NP224, complete genome",DENV-3,,,2022,Homo sapiens,10708.0,True,,,legacy
OR821725.1,"Dengue virus type 2 isolate DENV2_CDBT_TU_NP40, complete genome",DENV-2,,,2022,Homo sapiens,10723.0,True,,,legacy
OR821724.1,"Dengue virus type 2 isolate DENV2_CDBT_TU_NP181, complete genome",DENV-2,,,2022,Homo sapiens,10723.0,True,,,legacy
OQ726075.1,"Dengue virus type 2 isolate LET-1160, complete genome",DENV-2,,,2022,Homo sapiens,10723.0,True,,,legacy
OQ726073.1,"Dengue virus type 2 isolate LET-1147, complete genome",DENV-2,,,2022,Homo sapiens,10723.0,True,,,legacy
OQ726070.1,"Dengue virus type 2 isolate LET-1142, complete genome",DENV-2,,,2022,Homo sapiens,10723.0,True,,,legacy
OQ725734.1,"Dengue virus type 2 isolate LET-1127, complete genome",DENV-2,,,2022,Homo sapiens,10723.0,True,,,legacy
OQ725730.1,"Dengue virus type 2 isolate 03-2395, complete genome",DENV-2,,,2022,Homo sapiens,10723.0,True,,,legacy
OP909734.1,"Dengue virus type 2 isolate DENV2-16681-rcCap-NS1, complete genome",DENV-2,,,2020,Homo sapiens,10723.0,True,,,legacy
CAUJXG000000000.1,"Dengue virus type 3 isolate DENVSTP07, whole genome shotgun sequencing project",DENV-3,,,,,2.0,False,,,legacy
CAUJXE000000000.1,"Dengue virus type 3 isolate DENVSTP02, whole genome shotgun sequencing project",DENV-3,,,,,2.0,False,,,legacy
CAUJXB000000000.1,"Dengue virus type 3 isolate DENVSTP05, whole genome shotgun sequencing project",DENV-3,,,,,2.0,False,,,legacy
CAUJXF000000000.1,"Dengue virus type 3 isolate DENVSTP06, whole genome shotgun sequencing project",DENV-3,,,,,2.0,False,,,legacy
OR418423.1,"Dengue virus type 3 isolate 23GZ10604_D1_THA_F, complete genome",DENV-3,,,2023,Homo sapiens,10700.0,True,,,legacy
OR418422.1,"Dengue virus type 1 isolate 23GZ09930A_D1_F, complete genome",DENV-1,,,6-10,Homo sapiens,10734.0,True,,,legacy
OQ948474.1,"Dengue virus type 3 isolate DV3syn, complete genome",DENV-3,,,2019,Homo sapiens,10707.0,True,,,legacy
OQ782228.1,"Dengue virus type 2 isolate LLE8614, complete genome",DENV-2,,,2018,Homo sapiens,10724.0,True,,,legacy
OQ782227.1,"Dengue virus type 2 isolate 2220, complete genome",DENV-2,,,2018,Homo sapiens,10724.0,True,,,legacy
OQ782223.1,"Dengue virus type 2 isolate LLE1904, complete genome",DENV-2,,,2018,Homo sapiens,10724.0,True,,,legacy
OQ782222.1,"Dengue virus type 2 isolate LLE1879, complete genome",DENV-2,,,2018,Homo sapiens,10724.0,True,,,legacy
OQ782220.1,"Dengue virus type 2 isolate LLE8713, complete genome",DENV-2,,,2018,Homo sapiens,10724.0,True,,,legacy
OQ782219.1,"Dengue virus type 2 isolate LLE1877, complete genome",DENV-2,,,2018,Homo sapiens,10724.0,True,,,legacy
OQ782217.1,"Dengue virus type 2 isolate 8716, complete genome",DENV-2,,,2018,Homo sapiens,10724.0,True,,,legacy
OQ782203.1,"Dengue virus type 2 isolate 2204, complete genome",DENV-2,,,2018,Homo sapiens,10724.0,True,,,legacy
OQ603306.1,"Dengue virus type 3 isolate 449334, complete genome",DENV-3,,,2015,Homo sapiens,10708.0,True,,,legacy
OQ603290.1,"Dengue virus type 2 isolate 462966, complete genome",DENV-2,,,2016,Homo sapiens,10725.0,True,,,legacy
OQ603288.1,"Dengue virus type 2 isolate 452018, complete genome",DENV-2,,,2015,Homo sapiens,10725.0,True,,,legacy
OQ603281.1,"Dengue virus type 2 isolate 449308, complete genome",DENV-2,,,2015,Homo sapiens,10725.0,True,,,legacy
OQ603279.1,"Dengue virus type 2 isolate 434321, complete genome",DENV-2,,,2014,Homo sapiens,10725.0,True,,,legacy
OQ603277.1,"Dengue virus type 2 isolate 427516, complete genome",DENV-2,,,2013,Homo sapiens,10724.0,True,,,legacy
OQ603271.1,"Dengue virus type 2 isolate 423887, complete genome",DENV-2,,,2013,Homo sapiens,10723.0,True,,,legacy
OQ603269.1,"Dengue virus type 2 isolate 422091, complete genome",DENV-2,,,2013,Homo sapiens,10723.0,True,,,legacy
OM257419.1,"Dengue virus 2 isolate 017, complete genome",DENV-2,,,2017,Homo sapiens,10713.0,True,,,legacy
OM256481.1,"Dengue virus 2 isolate ML, complete genome",DENV-2,,,2017,Homo sapiens,10723.0,True,,,legacy
OM250394.1,"Dengue virus 1 isolate RL, complete genome",DENV-1,,,2017,Homo sapiens,10735.0,True,,,legacy
OQ652965.1,"Dengue virus type 2 isolate DENV2_YN_017, complete genome",DENV-2,,,2018,Homo sapiens,10710.0,True,,,legacy
OQ652964.1,"Dengue virus type 2 isolate DENV2_YN_MH, complete genome",DENV-2,,,2018,Homo sapiens,10723.0,True,,,legacy
MG721063.2,"Dengue virus type 1 strain R1_J10, complete genome",DENV-1,,,2016,Homo sapiens,10736.0,True,,,legacy
MG721062.2,"Dengue virus type 2 isolate R1_J46_DENV2, partial genome",DENV-2,,,2016,Homo sapiens,10469.0,False,,,legacy
MG721061.2,"Dengue virus type 3 strain R1_J51, partial genome",DENV-3,,,2016,Homo sapiens,10605.0,False,,,legacy
MG721060.2,"Dengue virus type 1 strain R1_J47, partial genome",DENV-1,,,2016,Homo sapiens,10615.0,False,,,legacy
MG721059.2,"Dengue virus type 3 strain R1_J18, partial genome",DENV-3,,,2016,Homo sapiens,10532.0,False,,,legacy
MG721058.2,"Dengue virus type 2 isolate R1_J45_DENV2, partial genome",DENV-2,,,2016,Homo sapiens,10637.0,False,,,legacy
MG721057.2,"Dengue virus type 2 isolate R1_J36_DENV2, partial genome",DENV-2,,,2016,Homo sapiens,10523.0,False,,,legacy
MG721056.2,"Dengue virus type 2 isolate R1_J30_DENV2, partial genome",DENV-2,,,2016,Homo sapiens,10631.0,False,,,legacy
MG721054.2,"Dengue virus type 2 isolate R1_J17_DENV2, complete genome",DENV-2,,,2016,Homo sapiens,10723.0,True,,,legacy
MG592698.2,"Dengue virus type 2 isolate R1_J15, partial genome",DENV-2,,,2016,,10575.0,False,,,legacy
MH822944.2,"Dengue virus type 2 isolate T14_S63_DENV2, complete genome",DENV-2,,,2012,Homo sapiens,10723.0,True,,,legacy
MH822943.2,"Dengue virus type 2 isolate T96_S84_DENV2, partial genome",DENV-2,,,2014,Homo sapiens,10580.0,False,,,legacy
MH822942.2,"Dengue virus type 2 isolate T82_S79_DENV2, partial genome",DENV-2,,,2014,Homo sapiens,10667.0,False,,,legacy
MH822941.2,"Dengue virus type 2 isolate T44_S74_DENV2, partial genome",DENV-2,,,2013,Homo sapiens,10601.0,False,,,legacy
MH822940.2,"Dengue virus type 2 isolate T81_S78_DENV2, partial genome",DENV-2,,,2014,Homo sapiens,10620.0,False,,,legacy
MH822939.2,"Dengue virus type 2 isolate T30_S70_DENV2, partial genome",DENV-2,,,2012,Homo sapiens,10628.0,False,,,legacy
MH822949.2,"Dengue virus type 2 isolate T90_S83_DENV2, complete genome",DENV-2,,,2014,Homo sapiens,10723.0,True,,,legacy
MH822948.2,"Dengue virus type 2 isolate T19_S66_DENV2, complete genome",DENV-2,,,2012,Homo sapiens,10721.0,True,,,legacy
MH822947.2,"Dengue virus type 2 isolate T5_S62_DENV2, complete genome",DENV-2,,,2012,Homo sapiens,10709.0,True,,,legacy
MH822946.2,"Dengue virus type 2 isolate T18_S65_DENV2, partial genome",DENV-2,,,2012,Homo sapiens,10634.0,False,,,legacy
MH822945.2,"Dengue virus type 2 isolate T20_S67_DENV2, partial genome",DENV-2,,,2012,Homo sapiens,10589.0,False,,,legacy
MH822954.2,"Dengue virus type 2 isolate T102_S87_DENV2, partial genome",DENV-2,,,2015,Homo sapiens,10631.0,False,,,legacy
MH822953.2,"Dengue virus type 2 isolate T105_S88_DENV2, partial genome",DENV-2,,,2015,Homo sapiens,10588.0,False,,,legacy
MH822952.2,"Dengue virus type 2 isolate T107_S90_DENV2, partial genome",DENV-2,,,2014,Homo sapiens,10642.0,False,,,legacy
MH822951.2,"Dengue virus type 2 isolate T46_S75_DENV2, partial genome",DENV-2,,,2013,Homo sapiens,10709.0,False,,,legacy
MH822950.2,"Dengue virus type 2 isolate T37_S71_DENV2, partial genome",DENV-2,,,2013,Homo sapiens,10580.0,False,,,legacy
MH822959.2,"Dengue virus type 1 strain T28_S69, complete genome",DENV-1,,,2012,Homo sapiens,10714.0,True,,,legacy
MH822958.2,"Dengue virus type 1 strain T24_S68, partial genome",DENV-1,,,2012,Homo sapiens,10619.0,False,,,legacy
MH822957.2,"Dengue virus type 3 strain T38_S72, partial genome",DENV-3,,,2013,Homo sapiens,10619.0,False,,,legacy
MH822956.2,"Dengue virus type 2 isolate T48_S76_DENV2, complete genome",DENV-2,,,2013,Homo sapiens,10723.0,True,,,legacy
MH822955.2,"Dengue virus type 2 isolate T89_S82_DENV2, complete genome",DENV-2,,,2014,Homo sapiens,10723.0,True,,,legacy
OM281599.1,"Dengue virus 1 isolate 002/SH/2020, complete genome",DENV-1,,,2020,Homo sapiens,10736.0,True,,,legacy
OM281598.1,"Dengue virus 1 isolate 144/SH/2019, complete genome",DENV-1,,,2019,Homo sapiens,10735.0,True,,,legacy
OM281597.1,"Dengue virus 1 isolate 137/SH/2019, complete genome",DENV-1,,,2019,Homo sapiens,10736.0,True,,,legacy
OM281596.1,"Dengue virus 1 isolate 132/SH/2019, complete genome",DENV-1,,,2019,Homo sapiens,10735.0,True,,,legacy
OM281595.1,"Dengue virus 1 isolate 128/SH/2019, complete genome",DENV-1,,,2019,Homo sapiens,10735.0,True,,,legacy
OM281594.1,"Dengue virus 1 isolate 123/SH/2019, complete genome",DENV-1,,,2019,Homo sapiens,10735.0,True,,,legacy
OM281593.1,"Dengue virus 1 isolate 098/SH/2019, complete genome",DENV-1,,,2019,Homo sapiens,10735.0,True,,,legacy
OM281592.1,"Dengue virus 1 isolate 095/SH/2019, complete genome",DENV-1,,,2019,Homo sapiens,10735.0,True,,,legacy
OM281591.1,"Dengue virus 1 isolate 094/SH/2019, complete genome",DENV-1,,,2019,Homo sapiens,10735.0,True,,,legacy
OM281590.1,"Dengue virus 1 isolate 092/SH/2019, complete genome",DENV-1,,,2019,Homo sapiens,10735.0,True,,,legacy
OM281589.1,"Dengue virus 1 isolate 090/SH/2019, complete genome",DENV-1,,,2019,Homo sapiens,10735.0,True,,,legacy
OM281588.1,"Dengue virus 1 isolate 074/SH/2019, complete genome",DENV-1,,,2019,Homo sapiens,10735.0,True,,,legacy
OM281587.1,"Dengue virus 1 isolate 073/SH/2019, complete genome",DENV-1,,,2019,Homo sapiens,10735.0,True,,,legacy
OM281586.1,"Dengue virus 1 isolate 068/SH/2019, complete genome",DENV-1,,,2019,Homo sapiens,10735.0,True,,,legacy
OM281585.1,"Dengue virus 1 isolate 067/SH/2019, complete genome",DENV-1,,,2019,Homo sapiens,10735.0,True,,,legacy
OM281584.1,"Dengue virus 1 isolate 057/SH/2019, complete genome",DENV-1,,,2019,Homo sapiens,10735.0,True,,,legacy
OM281583.1,"Dengue virus 1 isolate 055/SH/2019, complete genome",DENV-1,,,2019,Homo sapiens,10735.0,True,,,legacy
OM281582.1,"Dengue virus 1 isolate 053/SH/2019, complete genome",DENV-1,,,2019,Homo sapiens,10735.0,True,,,legacy
OM281581.1,"Dengue virus 1 isolate 049/SH/2019, complete genome",DENV-1,,,2019,Homo sapiens,10735.0,True,,,legacy
OM281580.1,"Dengue virus 1 isolate 046/SH/2019, complete genome",DENV-1,,,2019,Homo sapiens,10735.0,True,,,legacy
OM281579.1,"Dengue virus 1 isolate 030/SH/2019, complete genome",DENV-1,,,2019,Homo sapiens,10735.0,True,,,legacy
OM281578.1,"Dengue virus 1 isolate 025/SH/2019, complete genome",DENV-1,,,2019,Homo sapiens,10735.0,True,,,legacy
OM281577.1,"Dengue virus 1 isolate 024/SH/2019, complete genome",DENV-1,,,2019,Homo sapiens,10735.0,True,,,legacy
OM281576.1,"Dengue virus 1 isolate 023/SH/2019, complete genome",DENV-1,,,2019,Homo sapiens,10735.0,True,,,legacy
OM281575.1,"Dengue virus 1 isolate 022/SH/2019, complete genome",DENV-1,,,2019,Homo sapiens,10735.0,True,,,legacy
OM281574.1,"Dengue virus 1 isolate 066/SH/2018, complete genome",DENV-1,,,2018,Homo sapiens,10735.0,True,,,legacy
OM281573.1,"Dengue virus 1 isolate 045/SH/2018, complete genome",DENV-1,,,2018,Homo sapiens,10734.0,True,,,legacy
OM281572.1,"Dengue virus 1 isolate 043/SH/2018, complete genome",DENV-1,,,2018,Homo sapiens,10735.0,True,,,legacy
OM281571.1,"Dengue virus 1 isolate 042/SH/2018, complete genome",DENV-1,,,2018,Homo sapiens,10734.0,True,,,legacy
OM281570.1,"Dengue virus 1 isolate 038/SH/2018, complete genome",DENV-1,,,2018,Homo sapiens,10735.0,True,,,legacy
OM281569.1,"Dengue virus 1 isolate 037/SH/2018, complete genome",DENV-1,,,2018,Homo sapiens,10735.0,True,,,legacy
OQ101603.1,"Dengue virus type 2 isolate C2_2019_DENV-2, complete genome",DENV-2,,,2019,Homo sapiens,10725.0,True,,,legacy
ON799403.1,"Dengue virus type 4 isolate THSTI-TRC-DENV4-02, complete genome",DENV-4,,,2018,Homo sapiens,10649.0,True,,,legacy
ON799402.1,"Dengue virus type 4 isolate THSTI-TRC-DENV4-01, complete genome",DENV-4,,,2020,Homo sapiens,10649.0,True,,,legacy
ON799266.1,"Dengue virus type I isolate THSTI-TRC-DENV1-09, complete genome",DENV-1,,,2019,Homo sapiens,10735.0,True,,,legacy
ON123670.1,"Dengue virus type 3 isolate THSTI-TRC-DENV3-10, complete genome",DENV-3,,,2018,Homo sapiens,10707.0,True,,,legacy
ON123669.1,"Dengue virus type 3 isolate THSTI-TRC-DENV3-07, complete genome",DENV-3,,,2018,Homo sapiens,10707.0,True,,,legacy
ON123668.1,"Dengue virus type 4 isolate THSTI-TRC-DENV4-04, complete genome",DENV-4,,,2018,Homo sapiens,10649.0,True,,,legacy
ON123667.1,"Dengue virus type I isolate THSTI-TRC-DENV1-14, complete genome",DENV-1,,,2018,Homo sapiens,10735.0,True,,,legacy
ON123665.1,"Dengue virus type 3 isolate THSTI-TRC-DENV3-06, complete genome",DENV-3,,,2018,Homo sapiens,10707.0,True,,,legacy
ON123664.1,"Dengue virus type I isolate THSTI-TRC-DENV1-12, complete genome",DENV-1,,,2018,Homo sapiens,10735.0,True,,,legacy
ON123662.1,"Dengue virus type 3 isolate THSTI-TRC-DENV3-05, complete genome",DENV-3,,,2018,Homo sapiens,10707.0,True,,,legacy
ON123661.1,"Dengue virus type I isolate THSTI-TRC-DENV1-11, complete genome",DENV-1,,,2018,Homo sapiens,10735.0,True,,,legacy
ON123660.1,"Dengue virus type 3 isolate THSTI-TRC-DENV3-04, complete genome",DENV-3,,,2018,Homo sapiens,10707.0,True,,,legacy
ON123659.1,"Dengue virus type 3 isolate THSTI-TRC-DENV3-03, complete genome",DENV-3,,,2018,Homo sapiens,10707.0,True,,,legacy
ON123658.1,"Dengue virus type 3 isolate THSTI-TRC-DENV3-02, complete genome",DENV-3,,,2019,Homo sapiens,10707.0,True,,,legacy
ON123657.1,"Dengue virus type I isolate THSTI-TRC-DENV1-10, complete genome",DENV-1,,,2019,Homo sapiens,10735.0,True,,,legacy
ON123655.1,"Dengue virus type 3 isolate THSTI-TRC-DENV3-01, complete genome",DENV-3,,,2020,Homo sapiens,10707.0,True,,,legacy
ON123654.1,"Dengue virus type I isolate THSTI-TRC-DENV1-06, complete genome",DENV-1,,,2020,Homo sapiens,10735.0,True,,,legacy
ON123651.1,"Dengue virus type 2 isolate THSTI-TRC-DENV2-02, complete genome",DENV-2,,,2020,Homo sapiens,10723.0,True,,,legacy
ON123650.1,"Dengue virus type I isolate THSTI-TRC-DENV1-04, complete genome",DENV-1,,,2020,Homo sapiens,10735.0,True,,,legacy
ON123646.1,"Dengue virus type I isolate THSTI-TRC-DENV1-01, complete genome",DENV-1,,,2020,Homo sapiens,10735.0,True,,,legacy
LC436677.1,"Dengue virus type 3 B17-1479 RNA, nearly complete genome",DENV-3,,,7-10,Homo sapiens,10666.0,True,,,legacy
LC436676.1,"Dengue virus type 3 B17-1471 RNA, nearly complete genome",DENV-3,,,7-10,Homo sapiens,10666.0,True,,,legacy
LC436675.1,"Dengue virus type 2 B17-1634 RNA, nearly complete genome",DENV-2,,,7-12,Homo sapiens,10671.0,True,,,legacy
LC436674.1,"Dengue virus type 2 B17-1571 RNA, nearly complete genome",DENV-2,,,7-11,Homo sapiens,10671.0,True,,,legacy
